Nome,Tópico,Link
Papo de Homem,,https://www.papodehomem.com.br/
Homens que se cuidam,,https://homensquesecuidam.com/
El Hombre,,https://www.elhombre.com.br/
Almanaque SOS,,https://www.almanaquesos.com/
The Uni Planet,,https://www.theuniplanet.com/
Hacker News Bulletin,,http://www.hackersnewsbulletin.com/
InfoMoney,,https://www.infomoney.com.br/
O Futuro das Coisas,,https://ofuturodascoisas.com/
Anti Vigilância,,https://antivigilancia.org/
Intelligencer,,https://nymag.com/intelligencer/
The Register,,https://www.theregister.com/
Wired,,https://www.wired.com/
MIT Technology Review,,https://www.technologyreview.com/
The Conversation,,https://theconversation.com/us
Quanta Magazine,,https://www.quantamagazine.org/
