Nome,Tópico,Progresso,Terminado,Link
,,,No,
Escalando a renderização do lado do servidor React (APRENDER TEMAS PARA QUANDO PROJETO JÁ ESTIVER EM NUVEM),,,No,https://arkwright.github.io/scaling-react-server-side-rendering.html
Docker: Simplicidade e praticidade - Parte 1,,,No,https://dev.to/tarcisio/docker-simplicidade-e-praticidade-parte-1-26b0
3 Tools to Track and Visualize the Execution of your Python Code,,,No,"https://www.kdnuggets.com/2021/12/3-tools-track-visualize-execution-python-code.html#:~:text=Those%203%20tools%20are%3A,Python%20program%20in%20real%2Dtime"
How to Create a Programming Style Guide,,,No,How to Create a Programming Style Guide
Clean Node API,,,No,https://github.com/rmanguinho/clean-ts-api#clean-node-api
https://github.com/julioarruda/https://github.com/julioarruda/Curso-Azure-DevOps,,,No,https://github.com/julioarruda/Curso-Azure-DevOps
Code Profiling,,,No,https://www.google.com/search?q=Code+Profiling&rlz=1C1GCEU_pt-BRBR981BR981&oq=Code+Profiling&aqs=chrome..69i57.291j0j4&sourceid=chrome&ie=UTF-8
https://pt.stackoverflow.com/questions/417198/o-que-%c3%a9-separa%c3%a7%c3%a3o-de-interesses-soc-separation-of-concerns,,,No,https://pt.stackoverflow.com/questions/417198/o-que-%C3%A9-separa%C3%A7%C3%A3o-de-interesses-soc-separation-of-concerns
O que é CI e CD? Pra vc aprender e nunca mais esquecer! | Como usar GitHub Actions?,,,No,https://www.youtube.com/watch?v=IKjcdYQvcDo
BPMN,,,No,https://www.google.com/search?q=BPMN&rlz=1C1GCEU_pt-BRBR981BR981&sourceid=chrome&ie=UTF-8
Tutorial de Caso de Uso UML,,,No,https://www.youtube.com/watch?v=ab6eDdwS3rA
estudar UML,,,No,https://www.google.com/search?q=estudar+UML&rlz=1C1GCEU_pt-BRBR981BR981&sourceid=chrome&ie=UTF-8
Shttps://scrumguides.org/index.html,,,No,https://scrumguides.org/index.html
O QUE É UM PROFISSIONAL T-SHAPED?,,,No,https://www.mirago.com.br/aula/profissional-t-shaped/
Python Flask Build AI Web Aphttps://docs.microsoft.com/pt-br/learn/modules/python-flask-build-ai-web-app/0-introduction,,,No,https://docs.microsoft.com/pt-br/learn/modules/python-flask-build-ai-web-app/0-introduction
